title,id,date_added,artists,artist_id,artist_genre,album,album_id,album_date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
10 Victoria's Secret Models,0evnUdYzW18jCOTPNXZTzH,2018-03-25T19:26:37Z,MAX,1bqxdqvUtPWZri43cKHac8,dance pop,Hell's Kitchen Angel,1fVVnWHdCvIas2Rdmc25Oc,2016-04-08,0.0107,0.681,226116,0.629,0,1,0.0843,-6.167,0,0.0311,142.018,4,https://api.spotify.com/v1/tracks/0evnUdYzW18jCOTPNXZTzH,audio_features,spotify:track:0evnUdYzW18jCOTPNXZTzH,0.358
I Can't Stop Drinking About You - Chainsmokers Remix,56T1QA7202iW7fZes2PTUe,2018-03-25T19:21:30Z,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,dance pop,I Can't Stop Drinking About You Remix EP,5AI90HAchDmkZ7A1pDOXlX,2014-08-25,0.0451,0.637,263960,0.664,8.57e-06,3,0.0976,-7.335,0,0.0388,128.009,4,https://api.spotify.com/v1/tracks/56T1QA7202iW7fZes2PTUe,audio_features,spotify:track:56T1QA7202iW7fZes2PTUe,0.361
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,2018-03-25T19:03:54Z,Rudimental,4WN5naL3ofxrVBgFpguzKo,dance pop,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",2sjjFDjZSCYD5eBCsi0fDW,2018-01-19,0.194,0.653,210773,0.809,0,0,0.165,-4.057,1,0.0474,92.213,4,https://api.spotify.com/v1/tracks/5CLGzJsGqhCEECcpnFQA8x,audio_features,spotify:track:5CLGzJsGqhCEECcpnFQA8x,0.55
&Run,0w4m3Xp4svlIoyL94Zjlyd,2018-03-22T15:58:37Z,Sir Sly,3DFoVPonoAAt4EZ1FEI8ue,electropop,"Don't You Worry, Honey",5VvCD7gVffRgdPfExxLfF4,2017-06-30,0.0203,0.764,226587,0.661,0.000179,5,0.179,-8.276,1,0.0526,92.018,4,https://api.spotify.com/v1/tracks/0w4m3Xp4svlIoyL94Zjlyd,audio_features,spotify:track:0w4m3Xp4svlIoyL94Zjlyd,0.479
Bonfire,38YclYWc3cxYdHoYxZ79jN,2018-03-15T17:20:13Z,The Hunna,7jZycSvTyx0W9poD4PjEIG,english indie rock,100,4JqtQJR0R6xSJqlmGH31X3,2016-08-26,0.000324,0.515,177653,0.84,0,4,0.126,-4.217,1,0.0962,139.924,4,https://api.spotify.com/v1/tracks/38YclYWc3cxYdHoYxZ79jN,audio_features,spotify:track:38YclYWc3cxYdHoYxZ79jN,0.386
Walking Away - Mura Masa Remix,6ixKGrFMIsF93AfjDyC0cE,2018-03-15T17:06:08Z,HAIM,4Ui2kfOqGujY81UcPrb5KE,dance pop,Walking Away (Mura Masa Remix),09DBA1tT8hEX8HzBulXnt6,2017-12-08,0.352,0.642,288147,0.533,0.007,8,0.222,-8.186,1,0.0767,93.892,4,https://api.spotify.com/v1/tracks/6ixKGrFMIsF93AfjDyC0cE,audio_features,spotify:track:6ixKGrFMIsF93AfjDyC0cE,0.354
Something Better,33lXq3csEWwYNn6x0sM3Et,2018-03-09T19:55:47Z,Audien,4xnMDfgEmXZEEDdITKcGuE,big room,Daydreams,5YAyfZ8ahc69f6bBjkdHkx,2015-08-28,0.0692,0.549,212619,0.835,0,2,0.212,-2.632,1,0.0656,126.08,4,https://api.spotify.com/v1/tracks/33lXq3csEWwYNn6x0sM3Et,audio_features,spotify:track:33lXq3csEWwYNn6x0sM3Et,0.423
Lay It All on Me (feat. Ed Sheeran),0vbbhcA6okLzvsy6WSTlLg,2018-03-09T19:52:04Z,Rudimental,4WN5naL3ofxrVBgFpguzKo,dance pop,x (Wembley Edition),6NoBzYmh5gUusGPCfg0pct,2013,0.141,0.669,242440,0.747,0,6,0.185,-7.108,1,0.0428,122.531,4,https://api.spotify.com/v1/tracks/0vbbhcA6okLzvsy6WSTlLg,audio_features,spotify:track:0vbbhcA6okLzvsy6WSTlLg,0.483
Won't Go Quietly - Radio Edit,26g9NU7OeoDeG4ZEv7vvAK,2018-03-05T17:57:15Z,Example,6Vh6UDWfu9PUSXSzAaB3CW,dance pop,#hits,4nXsSZ1XwW82cbGVqPwT3X,2013-08-02,0.00252,0.53,219692,0.888,0,8,0.302,-3.511,1,0.212,125.048,4,https://api.spotify.com/v1/tracks/26g9NU7OeoDeG4ZEv7vvAK,audio_features,spotify:track:26g9NU7OeoDeG4ZEv7vvAK,0.678
Runaway (U & I),46lFttIf5hnUZMGvjK0Wxo,2018-03-05T17:56:53Z,Galantis,4sTQVOfp9vEMCemLw50sbu,big room,Pharmacy,4QcXq4vTVN7dFb7bZa9jG2,2015-06-05,0.00711,0.506,227074,0.805,0.00193,1,0.0856,-4.119,1,0.0469,126.008,4,https://api.spotify.com/v1/tracks/46lFttIf5hnUZMGvjK0Wxo,audio_features,spotify:track:46lFttIf5hnUZMGvjK0Wxo,0.383
Don't Stop (Color on the Walls),4HRa9ZWcmZ8JD7UySPu0wT,2018-03-04T22:50:30Z,Foster The People,7gP3bB2nilZXLfPHJhMdvc,indie pop,Torches,7Kmmw7Z5D2UD5MVwdm10sT,2011-05-23,0.00183,0.611,174920,0.948,0.0995,1,0.0969,-3.751,0,0.0753,133.004,4,https://api.spotify.com/v1/tracks/4HRa9ZWcmZ8JD7UySPu0wT,audio_features,spotify:track:4HRa9ZWcmZ8JD7UySPu0wT,0.79
Helena Beat,4VbDJMkAX3dWNBdn3KH6Wx,2018-03-04T22:50:06Z,Foster The People,7gP3bB2nilZXLfPHJhMdvc,indie pop,Torches,7Kmmw7Z5D2UD5MVwdm10sT,2011-05-23,0.0127,0.67,276173,0.876,0.00302,5,0.109,-4.905,0,0.0536,126.968,4,https://api.spotify.com/v1/tracks/4VbDJMkAX3dWNBdn3KH6Wx,audio_features,spotify:track:4VbDJMkAX3dWNBdn3KH6Wx,0.736
Houdini,5Fli1xRi01bvCjsZvKWro0,2018-03-04T22:49:56Z,Foster The People,7gP3bB2nilZXLfPHJhMdvc,indie pop,Torches,7Kmmw7Z5D2UD5MVwdm10sT,2011-05-23,0.00762,0.632,202467,0.908,0.000172,8,0.167,-3.511,1,0.0458,110.024,4,https://api.spotify.com/v1/tracks/5Fli1xRi01bvCjsZvKWro0,audio_features,spotify:track:5Fli1xRi01bvCjsZvKWro0,0.764
Lights Down Low - Not Your Dope Remix,3gY5KTD7UdL1HO3Izrjbmy,2018-02-24T12:45:33Z,MAX,1bqxdqvUtPWZri43cKHac8,dance pop,Lights Down Low - EP,6GIArZJaqTMv2x3xjJTsVl,2016-10-14,0.0802,0.639,206040,0.681,0,0,0.281,-4.976,0,0.0376,80.999,4,https://api.spotify.com/v1/tracks/3gY5KTD7UdL1HO3Izrjbmy,audio_features,spotify:track:3gY5KTD7UdL1HO3Izrjbmy,0.445
Unique (feat. Clara Mae),1RV87cUPftYXWXWYINpPEf,2018-02-21T21:16:55Z,Headhunterz,6C0KWmCdqrLU2LzzWBPbOy,classic hardstyle,Unique (feat. Clara Mae),64RCoQLrKLQFLuwNKv6BSc,2016-07-29,0.353,0.686,194694,0.718,0.000114,11,0.0561,-4.619,0,0.0454,98.02,4,https://api.spotify.com/v1/tracks/1RV87cUPftYXWXWYINpPEf,audio_features,spotify:track:1RV87cUPftYXWXWYINpPEf,0.544
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,2yAVzRiEQooPEJ9SYx11L3,2018-02-11T11:46:21Z,Eiffel 65,64rxQRJsLgZwHHyWKB8fiF,bubblegum dance,Europop,54vbD17F1t5q3yHkj1cX37,2011-01-05,0.259,0.822,283748,0.969,0.000162,7,0.39,-11.471,0,0.0582,128.007,4,https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3,audio_features,spotify:track:2yAVzRiEQooPEJ9SYx11L3,0.765
Black Panther,3vKU0GTHo5nl3kTCYAiqc3,2018-02-09T13:28:57Z,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,conscious hip hop,Black Panther The Album Music From And Inspired By,5f8pMn2A5d5lKMDapYbCmp,2018-02-09,0.62,0.612,130613,0.588,3.85e-06,1,0.264,-9.355,1,0.355,90.251,4,https://api.spotify.com/v1/tracks/3vKU0GTHo5nl3kTCYAiqc3,audio_features,spotify:track:3vKU0GTHo5nl3kTCYAiqc3,0.48
Cheer Up,6R8DTEYkNXV01NPRDJQZhz,2018-02-07T19:27:36Z,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,indie pop,Cheer Up (From Bright: The Album),0nIybfp2Tu0Q32CABpGLPj,2017-12-15,0.00133,0.517,166080,0.907,0.0271,7,0.09,-3.296,1,0.0603,145.083,4,https://api.spotify.com/v1/tracks/6R8DTEYkNXV01NPRDJQZhz,audio_features,spotify:track:6R8DTEYkNXV01NPRDJQZhz,0.569
Ayy Ladies (feat. Tyga),4P6BuLsqtg5uISdE77ypI9,2018-02-07T05:10:42Z,Travis Porter,6z1cicLMt9XArxN10q7m8a,atl hip hop,From Day 1,7co2UrRxl2TBgj3BCXIvnC,2012-05-28,0.096,0.905,211293,0.782,0,10,0.0623,-3.604,0,0.164,96.055,4,https://api.spotify.com/v1/tracks/4P6BuLsqtg5uISdE77ypI9,audio_features,spotify:track:4P6BuLsqtg5uISdE77ypI9,0.798
Scared To Be Lonely - Conro Remix,5qEK1dvlPMpOYZTBFPGGPV,2018-02-02T16:53:00Z,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,big room,Scared To Be Lonely Remixes Vol. 2,5jTkDSrXEBAowWeHpsA1a2,2017-03-24,0.178,0.501,202839,0.683,2.7e-06,1,0.385,-4.261,0,0.0651,154.901,4,https://api.spotify.com/v1/tracks/5qEK1dvlPMpOYZTBFPGGPV,audio_features,spotify:track:5qEK1dvlPMpOYZTBFPGGPV,0.319
Close,0cPsHxvuICaPKmWRFCRe1i,2018-02-02T16:52:05Z,Conro,1BAdSa5cdtCNLbvT7gWmtJ,canadian electronic,Close,4KbRPQ2hEiKxfRNzriqFzC,2017-07-19,0.0445,0.589,184000,0.8,0,2,0.165,-6.029,1,0.0439,150.093,4,https://api.spotify.com/v1/tracks/0cPsHxvuICaPKmWRFCRe1i,audio_features,spotify:track:0cPsHxvuICaPKmWRFCRe1i,0.267
Levels - Radio Edit,5QjJgPU8AJeickx34f7on6,2018-02-01T17:23:18Z,Avicii,1vCWHaC5f2uS3yhpwWbIA6,big room,Levels,0zt41iQaqe4tyVknMwNNps,2011-01-01,0.0534,0.605,199904,0.873,0.837,1,0.314,-5.938,0,0.0344,126.026,4,https://api.spotify.com/v1/tracks/5QjJgPU8AJeickx34f7on6,audio_features,spotify:track:5QjJgPU8AJeickx34f7on6,0.476
Intoxicated - Radio Edit,5ZKqR1beprJ3wa6wGUwTWH,2018-02-01T17:06:35Z,Martin Solveig,1bj5GrcLom5gZFF5t949Xl,dance pop,Intoxicated (Radio Edit),6Xc1wHzennkfpGs7c5ZDUr,2015-05-18,0.00435,0.793,160560,0.688,0.00477,0,0.199,-4.008,1,0.0386,124.985,4,https://api.spotify.com/v1/tracks/5ZKqR1beprJ3wa6wGUwTWH,audio_features,spotify:track:5ZKqR1beprJ3wa6wGUwTWH,0.502
Untouchable,05dL7chWJaVjMJnGO1YCKk,2018-02-01T16:55:37Z,Tritonal,521qvhdobR0GzhvU6TFw76,big room,Untouchable,3SDHTZyc0Bc84ePaIzchrd,2015-05-18,0.0664,0.542,228837,0.795,2.89e-06,7,0.313,-3.131,1,0.0379,128.959,4,https://api.spotify.com/v1/tracks/05dL7chWJaVjMJnGO1YCKk,audio_features,spotify:track:05dL7chWJaVjMJnGO1YCKk,0.251
If I Lose Myself,7hIRQZhDjab4YgqkkkehV9,2018-02-01T16:51:17Z,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,dance pop,Native,2bbhW5ifCwOYM8DMkqoYBF,2014-01-01,0.0969,0.482,241640,0.713,0,2,0.111,-6.017,1,0.0487,140.069,4,https://api.spotify.com/v1/tracks/7hIRQZhDjab4YgqkkkehV9,audio_features,spotify:track:7hIRQZhDjab4YgqkkkehV9,0.263
Secrets,1NhPKVLsHhFUHIOZ32QnS2,2018-02-01T16:50:23Z,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,dance pop,Waking Up,2pLAOZiilrhOrTQNqrF8qr,2009-01-01,0.0717,0.516,224693,0.764,0,2,0.115,-6.223,1,0.0366,148.021,4,https://api.spotify.com/v1/tracks/1NhPKVLsHhFUHIOZ32QnS2,audio_features,spotify:track:1NhPKVLsHhFUHIOZ32QnS2,0.376
