danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, type, id, uri, track_href, analysis_url, duration_ms, time_signature
0.849,0.832,4,-3.529,0,0.173,0.0498,0.0,0.148,0.855,91.0,audio_features,3BUtprrVhbij7t7G2bVXR6,spotify:track:3BUtprrVhbij7t7G2bVXR6,https://api.spotify.com/v1/tracks/3BUtprrVhbij7t7G2bVXR6,https://api.spotify.com/v1/audio-analysis/3BUtprrVhbij7t7G2bVXR6,235093,4
0.703,0.597,1,-7.118,1,0.0321,0.448,0.0,0.192,0.665,159.853,audio_features,0H4RkX6VuwVtAYDnm8MhTq,spotify:track:0H4RkX6VuwVtAYDnm8MhTq,https://api.spotify.com/v1/tracks/0H4RkX6VuwVtAYDnm8MhTq,https://api.spotify.com/v1/audio-analysis/0H4RkX6VuwVtAYDnm8MhTq,218893,4
0.792,0.398,9,-6.827,1,0.0405,0.165,0.0314,0.0818,0.634,135.294,audio_features,19mca6YZHbP6zIDs2VlLZM,spotify:track:19mca6YZHbP6zIDs2VlLZM,https://api.spotify.com/v1/tracks/19mca6YZHbP6zIDs2VlLZM,https://api.spotify.com/v1/audio-analysis/19mca6YZHbP6zIDs2VlLZM,221267,4
0.731,0.668,11,-8.046,1,0.354,0.0583,6.42e-05,0.867,0.613,88.085,audio_features,1g7ecpJrm9vEkJreTnJzMW,spotify:track:1g7ecpJrm9vEkJreTnJzMW,https://api.spotify.com/v1/tracks/1g7ecpJrm9vEkJreTnJzMW,https://api.spotify.com/v1/audio-analysis/1g7ecpJrm9vEkJreTnJzMW,295107,4
0.657,0.772,11,-8.164,0,0.0509,0.485,1.49e-05,0.0573,0.828,144.595,audio_features,5VoFqykwvr5Zm5eXqAsv0I,spotify:track:5VoFqykwvr5Zm5eXqAsv0I,https://api.spotify.com/v1/tracks/5VoFqykwvr5Zm5eXqAsv0I,https://api.spotify.com/v1/audio-analysis/5VoFqykwvr5Zm5eXqAsv0I,158107,4
0.77,0.383,2,-8.935,1,0.213,0.485,5.27e-06,0.18,0.825,76.164,audio_features,2aSzuwQCrHs0hO3con0aBW,spotify:track:2aSzuwQCrHs0hO3con0aBW,https://api.spotify.com/v1/tracks/2aSzuwQCrHs0hO3con0aBW,https://api.spotify.com/v1/audio-analysis/2aSzuwQCrHs0hO3con0aBW,224160,4
0.471,0.876,9,-6.074,1,0.0515,0.00356,0.0134,0.346,0.663,174.871,audio_features,2aJZm9Vau6PEY713J6SteL,spotify:track:2aJZm9Vau6PEY713J6SteL,https://api.spotify.com/v1/tracks/2aJZm9Vau6PEY713J6SteL,https://api.spotify.com/v1/audio-analysis/2aJZm9Vau6PEY713J6SteL,310933,4
0.624,0.513,5,-14.789,1,0.0368,0.788,0.612,0.189,0.77,124.467,audio_features,187zdtmVzYDsUWfYzcbYn3,spotify:track:187zdtmVzYDsUWfYzcbYn3,https://api.spotify.com/v1/tracks/187zdtmVzYDsUWfYzcbYn3,https://api.spotify.com/v1/audio-analysis/187zdtmVzYDsUWfYzcbYn3,151413,4
0.459,0.156,5,-18.99,1,0.0708,0.958,0.912,0.176,0.382,117.725,audio_features,3reEhPUrz0w81lgtbBoO0L,spotify:track:3reEhPUrz0w81lgtbBoO0L,https://api.spotify.com/v1/tracks/3reEhPUrz0w81lgtbBoO0L,https://api.spotify.com/v1/audio-analysis/3reEhPUrz0w81lgtbBoO0L,199867,4
0.591,0.752,9,-4.889,1,0.0283,0.127,0.0,0.352,0.557,137.005,audio_features,49sMIgmNKbJ12MNQaWk0yj,spotify:track:49sMIgmNKbJ12MNQaWk0yj,https://api.spotify.com/v1/tracks/49sMIgmNKbJ12MNQaWk0yj,https://api.spotify.com/v1/audio-analysis/49sMIgmNKbJ12MNQaWk0yj,253867,4
