acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,arstist_id,artist_name,genre,name
0.0202,0.493,232533.0,0.586,4MYb7NWLwXNDB7bYs3HeX8,0.00106,2.0,0.102,-13.916,1.0,0.046,113.618,4.0,0.656,6x33CmZWo2Ve4hxYl2Craq,Foghat,Rock,Slow Ride
0.0151,0.492,257227.0,0.552,1CQqupcyMg7176PPmIVmSj,3.74e-05,7.0,0.0723,-12.321,0.0,0.0341,105.623,4.0,0.655,4salDzkGmfycRqNUbyBphh,Styx,Rock,Renegade
0.367,0.475,206267.0,0.322,6zeE5tKyr8Nu882DQhhSQI,0.00056,7.0,0.11,-10.687,1.0,0.0283,93.503,4.0,0.387,2hl0xAkS2AIRAu23TVMBG1,Kansas,Rock,Dust in the Wind
0.3,0.438,240760.0,0.606,3Nf8oGn1okobzjDcFCvT6n,4.49e-06,7.0,0.0754,-6.549,1.0,0.0305,133.822,4.0,0.266,0GByy3DcfbQwDvXGCWmzv9,Pretenders,Rock,I'll Stand by You
0.00045,0.355,285200.0,0.791,6gZVQvQZOFpzIy3HblJ20F,0.0,8.0,0.0969,-7.565,1.0,0.0453,106.392,4.0,0.758,64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,Rock,Man in the Box
0.0023,0.466,229960.0,0.648,0qgrrDnUUhyxpxbBznUnzg,1.49e-05,1.0,0.112,-11.101,0.0,0.028,90.435,4.0,0.305,4opTS86dN9uO313J9CE8xg,Skid Row,Rock,18 and Life
0.101,0.608,211160.0,0.768,7b4yGtR0rujvLi5EBfKKJ2,1.41e-06,1.0,0.0942,-9.911,1.0,0.0364,132.699,4.0,0.748,4Tw2N3wdvJPGEU7JqMxFfE,Eddie Money,Rock,Take Me Home Tonight
0.214,0.768,271240.0,0.852,07q0QVgO56EorrSGHC48y3,7.36e-05,4.0,0.0723,-6.215,1.0,0.038,128.373,4.0,0.867,07XSN3sPlIlB2L2XNcTwJw,KISS,Rock,I Was Made For Lovin' You
0.000852,0.329,166920.0,0.974,6EPRKhUOdiFSQwGBRBbvsZ,0.000118,3.0,0.0904,-8.77,0.0,0.135,140.862,4.0,0.234,1DFr97A9HnbV3SKTJFu62M,Motörhead,Rock,Ace of Spades
0.0385,0.402,287000.0,0.597,7c1Dar0pIAW7w5TzaGjt9t,2.09e-06,2.0,0.109,-9.258,1.0,0.0327,81.806,4.0,0.496,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,Rock,Jane Says
0.0804,0.743,188987.0,0.836,39shmbIHICJ2Wxnk1fPSdz,0.0,2.0,0.384,-6.465,1.0,0.116,113.375,4.0,0.82,3RGLhK1IP9jnYFH4BRFJBS,The Clash,Rock,Should I Stay or Should I Go - Remastered
0.0127,0.502,219667.0,0.924,1hlveB9M6ijHZRbzZ2teyh,0.0,4.0,0.162,-6.299,1.0,0.0503,149.186,4.0,0.922,7b85ve82Sh36a3UAx74wut,Twisted Sister,Rock,We're Not Gonna Take It
0.176,0.728,262613.0,0.878,0LoQuiekvzqx7n8flgEKzF,0.856,11.0,0.61,-6.926,0.0,0.0564,126.59,4.0,0.911,3dBVyJ7JuOMt4GE9607Qin,T. Rex,Rock,Get It On
0.577,0.404,423840.0,0.902,2kkvB3RNRzwjFdGhaUA0tz,0.297,1.0,0.287,-3.88,1.0,0.0665,115.669,4.0,0.497,2rc78XDH9zuJP6bm78lU8Z,Derek & The Dominos,Rock,Layla
0.619,0.389,217107.0,0.476,6txWz9UapYHVxEd7dDIHXT,5.09e-05,9.0,0.255,-9.342,1.0,0.0316,148.117,4.0,0.566,5sD1ZLf2dGQ9gQ3YJl1eAd,Blind Melon,Rock,No Rain
0.0493,0.464,202267.0,0.795,63T7DJ1AFDD6Bn8VzG6JE8,0.00244,1.0,0.399,-9.267,1.0,0.0926,158.691,4.0,0.612,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Rock,"Paint It, Black"
0.0222,0.358,293653.0,0.893,4ReyTz0y3TGkX48wO3Llot,0.0524,4.0,0.126,-7.486,0.0,0.12,174.238,4.0,0.262,6GbCJZrI318Ybm8mY36Of5,Faith No More,Rock,Epic
0.000168,0.298,252453.0,0.799,5Okf7KBikV8we3uqCMFjiL,9.42e-05,2.0,0.496,-6.962,0.0,0.0464,143.072,4.0,0.561,2Omy3P5hFZym7FKum1JA1s,UFO,Rock,Doctor Doctor - 2007 Remaster
0.146,0.55,307493.0,0.726,3LQPTJEqOfljGBxmpgUnoC,0.00608,2.0,0.428,-8.51,1.0,0.0516,92.697,4.0,0.37,0cQuYRSzlItquYxsQKDvVc,The Guess Who,Rock,American Woman
0.25,0.55,434720.0,0.722,14XWXWv5FoCbFzLksawpEe,0.0129,11.0,0.11,-11.729,0.0,0.0283,103.886,4.0,0.716,22WZ7M8sxp5THdruNY3gXt,The Doors,Rock,Riders on the Storm
0.00596,0.485,233133.0,0.328,1i5oEx2vFczQ2sCY3c6Kn5,0.0032,7.0,0.325,-11.853,1.0,0.0254,79.766,4.0,0.138,6fvN9GmMCVKb5LY0WsnjFP,Nazareth,Rock,Love Hurts
0.00417,0.356,193653.0,0.872,5G1sTBGbZT5o4PNRc75RKI,0.00975,2.0,0.0997,-7.837,1.0,0.068,166.3,4.0,0.607,7mnBLXK823vNxN3UWB7Gfz,The Black Keys,Rock,Lonely Boy
0.028,0.723,322897.0,0.541,7pkWZL0kA26s754CwyK0SH,0.00339,0.0,0.133,-14.021,1.0,0.0303,131.675,4.0,0.607,6ZPbX2Lxd40e2UVkXpyxvI,Great White,Rock,Once Bitten Twice Shy
