acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,arstist_id,artist_name,name
0.00677,0.816,211093.0,0.593,5HoguvI90mDlb0DFdShLbu,0.000121,9.0,0.261,-9.673,1.0,0.22,130.002,4.0,0.57,0XcHrfDZFfXPbhBA0crdO8,Glogang Sosa,Bags
0.231,0.76,204067.0,0.674,5M7IGym8CgSVOMNvDAGheL,0.0027,3.0,0.0728,-6.425,1.0,0.0411,140.022,4.0,0.797,4wYk01oPJNfaEssVFL46oQ,Coast Modern,Guru
0.0755,0.679,250056.0,0.499,2NsmhWMUKfriEkvvn9W1aO,0.0,0.0,0.326,-11.631,0.0,0.363,136.179,4.0,0.354,0XcHrfDZFfXPbhBA0crdO8,Glogang Sosa,Grizelda Blanco
0.0178,0.782,196181.0,0.874,3WpHqtFUwzIQBsV9YC5iNc,1.65e-06,8.0,0.444,-4.611,1.0,0.276,119.959,4.0,0.655,7dGJo4pcD2V6oG8kP0tJRR,Eminem,Guns Blazing (feat. Dr. Dre & Sly Pyper)
0.227,0.525,131429.0,0.827,3CmTQodPAe4Ld15IfyIICg,0.0,3.0,0.427,-6.424,1.0,0.555,83.43,4.0,0.327,4gzDCaLU9zbuBGVK9RFLcP,Ggunja,Pythagorejský Trojúhelník
0.0956,0.788,105897.0,0.754,6Fzd8zc8dmYwdZwPthOQuJ,4.16e-05,10.0,0.0939,-6.589,0.0,0.0552,97.549,4.0,0.824,2VAMqPJ0y15P6bK36DHLzN,Voidie,Pass Out
0.102,0.574,208125.0,0.803,2FK1qmw8XNBqUe5CcgTVnE,4.15e-06,4.0,0.0861,-3.17,0.0,0.186,97.967,4.0,0.647,50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,Guillotine
0.401,0.751,225187.0,0.501,1v9LjftlGWlkK1LQt9yYb7,0.0,1.0,0.315,-14.587,1.0,0.315,117.069,4.0,0.501,0XcHrfDZFfXPbhBA0crdO8,Glogang Sosa,Lil Dummy
0.00717,0.839,185856.0,0.816,7nEOt4hHTxZCYX7ofr88pE,4.13e-06,11.0,0.201,-7.245,0.0,0.159,102.015,4.0,0.337,7oNSlgSa87VgvIv6FZ7vcL,Victorhell,Higher Than The Desert
0.185,0.849,256341.0,0.699,0TCnOEVeLQMXOUrpPlM7uY,0.00118,4.0,0.0954,-5.193,0.0,0.0574,100.989,4.0,0.0778,7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,Guatemala - From Swaecation
